Identifier,Station Number,Lat,Lon,Name,Start,End
CHM00053845,53845,36.5667,109.45,YAN AN,1956,2020
CHM00053915,53915,35.55,106.6667,PINGLIANG,1959,2020
CHM00054102,54102,43.95,116.1167,XILIN HOT,1956,2020
CHM00054135,54135,43.6,122.2667,TONGLIAO,1959,2020
CHM00054161,54161,43.9,125.2167,CHANGCHUN,1956,2020
CHM00054218,54218,42.3,118.8333,CHIFENG,1956,2020
CHM00054292,54292,42.8667,129.5,YANJI,1956,2020
CHM00054374,54374,41.8,126.8833,LINJIANG,1959,2020
CHM00054401,54401,40.7833,114.8833,ZHANGJIAKOU,1973,2020
CHM00054511,54511,39.9333,116.2833,BEIJING,1956,2020
CHM00054662,54662,38.9,121.6333,DALIAN,1944,2020
CHM00054727,54727,36.7,117.55,ZHANGQIU,2003,2020
CHM00054857,54857,36.0667,120.3333,QINGDAO,1956,2020
CHM00055299,55299,31.4833,92.0667,NAGQU,1957,2020
CHM00055591,55591,29.6667,91.1333,LHASA,1957,2020
CHM00056029,56029,33,96.95,YUSHU,1959,2020
CHM00056080,56080,35,102.9,HEZUO,1960,2020
CHM00056137,56137,31.15,97.1667,QAMDO,1957,2020
CHM00056146,56146,31.6167,100,GARZE,1957,2020
CHM00056187,56187,30.75,103.8667,WENJIANG,2004,2020
CHM00056571,56571,27.9,102.2667,XICHANG,1956,2020
CHM00056691,56691,26.8667,104.2833,WEINING,1960,2020
CHM00056739,56739,24.9844,98.5056,TENGCHONG,1956,2020
CHM00056778,56778,25.0167,102.6833,KUNMING,1956,2020
CHM00056964,56964,22.7667,100.9833,SIMAO,1957,2020
CHM00056985,56985,23.4444,103.3278,MENGZI,1973,2020
CHM00057083,57083,34.7167,113.65,ZHENGZHOU,1956,2020
CHM00057127,57127,33.0667,107.0333,HANZHONG,1959,2020
CHM00057131,57131,34.4333,108.9667,JINGHE,2007,2020
CHM00057178,57178,33.1,112.4833,NANYANG,1967,2020
CHM00057447,57447,30.2833,109.4667,ENSHI,1959,2020
CHM00057461,57461,30.7333,111.3667,YICHANG,1956,2020
CHM00057494,57494,30.6,114.05,WUHAN,1946,2020
CHM00057516,57516,29.6,106.4,CHONGQING,1957,2020
CHM00057749,57749,27.5667,110,HUAIHUA,1956,2020
CHM00057816,57816,26.4833,106.65,GUIYANG,1956,2020
CHM00057957,57957,25.3333,110.3,GUILIN,1957,2020
CHM00057972,57972,25.7353,112.9739,CHENZHOU,1956,2020
CHM00057993,57993,25.8667,115,GANZHOU,1956,2020
CHM00058027,58027,34.2833,117.15,XUZHOU,1956,2020
CHM00058150,58150,33.75,120.3,SHEYANG,1964,2020
CHM00058203,58203,32.8667,115.7333,FUYANG,1957,2020
CHM00058238,58238,31.9333,118.9,NANJING,1930,2020
CHM00058362,58362,31.4167,121.45,SHANGHAI (BAOSHAN),1956,2020
CHM00058424,58424,30.6167,116.9667,ANQING,1960,2020
CHM00058457,58457,30.2333,120.1667,HANGZHOU,1960,2020
CHM00058606,58606,28.6,115.9167,NANCHANG,1957,2020
CHM00058633,58633,28.9667,118.8667,QU XIAN,1956,2020
CHM00058665,58665,28.6167,121.4167,HONGJIA,1991,2020
CHM00058725,58725,27.3333,117.4667,SHAOWU,1958,2020
CHM00058847,58847,26.0833,119.2833,FUZHOU,1956,2020
CHM00059023,59023,24.7,108.0333,HECHI,1973,2020
CHM00059134,59134,24.4833,118.0833,XIAMEN,1958,2020
CHM00059211,59211,23.9,106.6,BAISE,1957,2020
CHM00059265,59265,23.4833,111.3,WUZHOU,1957,2020
CHM00059280,59280,23.7,113.0833,QINGYUAN,1997,2020
CHM00059293,59293,23.8,114.7333,HEYUAN,2015,2020
CHM00059316,59316,23.35,116.6667,SHANTOU,1957,2020
CHM00059431,59431,22.6333,108.2167,NANNING,1956,2020
CHM00059663,59663,21.8333,111.9667,YANGJIANG,1966,2020
CHM00059758,59758,20,110.25,HAIKOU,1956,2020
CHM00059948,59948,18.2167,109.5833,SANYA,1973,2020
CIM00085442,85442,-23.4503,-70.4408,ANTOFAGASTA,1957,2020
CIM00085469,85469,-27.1606,-109.4267,ISLA DE PASCUA,1966,2020
CIM00085586,85586,-33.6547,-71.6144,SANTO DOMINGO,1999,2020
CIM00085799,85799,-41.4347,-73.0975,PUERTO MONTT,1957,2020
CIM00085934,85934,-53.0033,-70.845,PUNTA ARENAS,1975,2020
CJM00078384,78384,19.2917,-81.3583,OWEN ROBERTS AIRPORT GRAND CAY,1956,2020
CKM00096996,96996,-12.1892,96.8344,COCOS ISLAND AERO,1952,2020
CMM00064870,64870,7.35,13.5667,NGAOUNDERE,1973,2020
CMM00064910,64910,4.0167,9.7,DOUALA R.S.,1953,2020
CNM00067002,67002,-11.5333,43.2667,HAHAYA INT. AIRPORT,1982,2020
COM00080001,80001,12.5833,-81.7167,SAN ANDRES (ISLA)/SESQUICENTEN,1956,2020
COM00080222,80222,4.7,-74.15,BOGOTA/ELDORADO,1960,2020
COM00080259,80259,3.55,-76.3833,CALI/ALFONSO BONILLA ARAGON,2016,2020
COM00080398,80398,-4.1667,-69.95,LETICIA/VASQUEZ COBO,1986,2020
CSM00078762,78762,9.9833,-84.1833,JUAN SANTAMARIA INT. AIRPORT,1972,2020
CTM00064650,64650,4.4,18.5167,BANGUI,1950,2020
CYM00017600,17600,34.7194,32.4847,PAPHOS AP,1973,2020
CYM00017609,17609,34.8733,33.6172,LARNACA AIRPORT,1978,2020
DAM00006060,06060,56.2933,9.1139,FLYVESTATION KARUP,1999,2020
DRM00078486,78486,18.4333,-69.8833,SANTO DOMINGO,1962,2020
ECM00084203,84203,-2.1581,-79.8839,GUAYAQUIL AEROPUERTO,1957,2020
EGM00062306,62306,31.3253,27.2217,MERSA MATRUH,1934,2020
EGM00062337,62337,31.0733,33.8358,EL ARISH,1950,2020
EGM00062378,62378,29.8628,31.3492,HELWAN,1920,2020
EGM00062414,62414,23.9644,32.82,ASSWAN,1936,2020
EGM00062423,62423,27.0583,27.9892,FARAFRA,1953,2020
EIM00003953,03953,51.9381,-10.2433,VALENTIA OBSERVATORY,1949,2020
ENM00026038,26038,59.3981,24.6028,TALLINN-HARKU,1947,2020
EZM00011520,11520,50.0078,14.4469,PRAHA-LIBUS,1969,2020
EZM00011747,11747,49.4525,17.1347,PROSTEJOV,2003,2020
FIM00002836,02836,67.3667,26.6289,SODANKYLA ARCTIC RESEARCH CENT,1920,2020
FIM00002963,02963,60.8139,23.4975,JOKIOINEN OBSERVATORY,1957,2020
FJM00091680,91680,-17.75,177.45,NADI AIRPORT,1949,2020
FKM00088889,88889,-51.82,-58.4481,MOUNT PLEASANT AIRPORT,1990,2020
FMM00091334,91334,7.45,151.8333,TRUK/CAROLINE IS.,1951,2020
FMM00091348,91348,6.95,158.2,PONAPE/CAROLINE IS.,1950,2020
FMM00091413,91413,9.4833,138.0667,YAP/CAROLINE IS.,1949,2020
FOM00006011,06011,62.0231,-6.7647,TORSHAVN,1949,2020
FPM00091925,91925,-9.8061,-139.0356,HIVA-OA,1968,2020
FPM00091948,91948,-23.1303,-134.9653,MANGAREVA,1970,2020
FPM00091958,91958,-27.6183,-144.3347,RAPA,1967,2020
FRM00007110,07110,48.4442,-4.4119,BREST-GUIPAVAS,1940,2020
FRM00007145,07145,48.7744,2.0097,TRAPPES,1949,2020
FRM00007510,07510,44.8306,-0.6914,BORDEAUX MERIGNAC,1920,2020
FRM00007645,07645,43.8569,4.4064,NIMES-COURBESSAC,1949,2020
FRM00007761,07761,41.9181,8.7928,AJACCIO,1951,2020
GBM00064500,64500,0.45,9.4167,LIBREVILLE,1973,2020
GLM00004220,04220,68.7081,-52.8517,AASIAAT (EGEDESMINDE),1950,2020
GLM00004270,04270,61.1667,-45.4167,MITTARFIK NARSARSUAQ,1946,2020
GLM00004320,04320,76.7694,-18.6681,DANMARKSHAVN,1950,2020
GLM00004339,04339,70.4844,-21.9511,ITTOQQORTOORMIIT,1946,2020
GLM00004360,04360,65.6111,-37.6367,TASIILAQ (AMMASSALIK),1949,2020
GLM00004417,04417,72.5803,-38.4586,GEOSUMMIT,2012,2020
GMM00010035,10035,54.5333,9.55,SCHLESWIG,1954,2020
GMM00010113,10113,53.7139,7.1525,NORDERNEY,2011,2020
GMM00010184,10184,54.0978,13.4075,GREIFSWALD,1950,2020
GMM00010238,10238,52.8153,9.9247,BERGEN,1969,2020
GMM00010304,10304,52.7156,7.3175,MEPPEN,1972,2020
GMM00010393,10393,52.2167,14.1167,LINDENBERG,1905,2020
GMM00010410,10410,51.4056,6.9686,ESSEN-BREDENEY,1965,2020
GMM00010548,10548,50.5617,10.3772,MEININGEN,1969,2020
GMM00010618,10618,49.6928,7.3264,IDAR-OBERSTEIN,1971,2020
GMM00010739,10739,48.8333,9.2,STUTTGART/SCHNARRENBERG,1957,2020
GMM00010771,10771,49.4283,11.9022,KUEMMERSBRUCK,1969,2020
GMM00010868,10868,48.2442,11.5525,MUENCHEN-OBERSCHLEISSHEIM,1976,2020
GMM00010954,10954,47.8342,10.8667,ALTENSTADT,1977,2020
GMM00010962,10962,47.8019,11.0119,HOHENPEISSENBERG,1982,2020
GQM00091212,91212,13.4767,144.7944,WEATHER FORECAST OFFICE,1945,2020
GRM00016622,16622,40.5272,22.9714,THESSALONIKI (AIRPORT),1955,2020
GRM00016716,16716,37.8897,23.7417,ATHINAI HELLINIKON,1949,2020
GRM00016754,16754,35.3353,25.1819,HERAKLEION (AIRPORT),1964,2020
HKM00045004,45004,22.3272,114.1686,KOWLOON,1949,2020
HRM00014240,14240,45.8219,16.0336,ZAGREB/MAKSIMIR,1955,2020
HRM00014430,14430,44.0969,15.3403,ZADAR RS,1982,2020
HUM00012843,12843,47.4333,19.1833,BUDAPEST/PESTSZENTLORINC,1949,2020
HUM00012982,12982,46.25,20.1,SZEGED,1965,2020
ICM00004018,04018,63.9806,-22.595,KEFLAVIKURFLUGVOLLUR,1946,2020
ICM00004089,04089,65.2833,-14.4,EGILSSTADIR,1996,2020
IDM00096009,96009,5.1833,97.1333,LHOKSEUMAWE/MALIKUSSALEH,1983,2020
IDM00096011,96011,5.5167,95.4167,BANDA ACEH/BLANG BINTANG,1973,2020
IDM00096015,96015,4.25,96.1167,MEULABOH/CUT NYAK DHIEN,1995,2020
IDM00096035,96035,3.6403,98.8786,KUALANAMU MEDAN,1973,2020
IDM00096073,96073,1.55,98.8833,SIBOLGA/PINANGSORI,1973,2020
IDM00096075,96075,1.2667,97.6,GUNUNG SITOLI/BINAKA,1989,2020
IDM00096091,96091,0.9167,104.5333,TANJUNG PINANG/KIJANG,1975,2020
IDM00096109,96109,0.4667,101.45,PEKAN BARU/SIMPANGTIGA,1973,2020
IDM00096145,96145,3.2,106.25,TAREMPA,1980,2020
IDM00096147,96147,3.95,108.3833,RANAI,1978,2020
IDM00096163,96163,-0.7883,100.2808,MIA PADANG,1973,2020
IDM00096171,96171,-0.3333,102.3167,RENGAT/JAPURA,1975,2020
IDM00096179,96179,-0.4833,104.5833,SINGKEP/DABO,1978,2020
IDM00096195,96195,-1.6333,103.65,JAMBI/SULTAN TAHA,1973,2020
IDM00096207,96207,-2.0939,101.4698,KERINCI/DEPATI PARBO,2007,2020
IDM00096221,96221,-2.9,104.7,PALEMBANG/ST. M. BADARUDIN II,1973,2020
IDM00096237,96237,-2.1667,106.1333,PANGKAL PINANG,1973,2020
IDM00096249,96249,-2.75,107.75,TANJUNG PANDAN/BULUH TUMBANG,1975,2020
IDM00096253,96253,-3.8833,102.3333,BENGKULU/PADANG KEMILING,1973,2020
IDM00096295,96295,-5.1,105.1833,TANJUNG KARANG/RADIN INTEN II,1976,2020
IDM00096509,96509,3.3333,117.5667,TARAKAN/JUWATA,1973,2020
IDM00096535,96535,1.7667,109.3,PALOH,1997,2020
IDM00096565,96565,0.8833,112.9333,PUTUSSIBAU/PAGSUMA,1998,2020
IDM00096581,96581,-0.15,109.4,PONTIANAK/SUPADIO,1974,2020
IDM00096595,96595,-0.95,114.9,MUARA TEWEH/BERINGIN,1994,2020
IDM00096607,96607,-0.4844,117.1569,SAMARINDA/TEMINDUNG,1993,2020
IDM00096633,96633,-1.2667,116.9,BALIKPAPAN/SEPINGGAN,1973,2020
IDM00096645,96645,-2.7,111.7,PANGKALAN BUN/ISKANDAR,1983,2020
IDM00096655,96655,-2.225,113.9428,PALANGKA RAYA/TJILIK RIWUT,1984,2020
IDM00096685,96685,-3.4333,114.75,BANJARMASIN/SYAMSUDIN NOOR,1973,2020
IDM00096737,96737,-6.1167,106.1333,SERANG,1984,2020
IDM00096739,96739,-6.2333,106.65,CURUG/BUDIARTO,1975,2020
IDM00096749,96749,-6.1167,106.65,JAKARTA/SOEKARNO-HATTA,1909,2020
IDM00096791,96791,-6.75,108.2667,CIREBON/JATIWANGI,1984,2020
IDM00096797,96797,-6.85,109.15,TEGAL,1983,2020
IDM00096805,96805,-7.7333,109.0167,CILACAP,1973,2020
IDM00096839,96839,-6.9833,110.3833,SEMARANG/AHMAD YANI,1973,2020
IDM00096925,96925,-5.85,112.6333,SANGKAPURA (BAWEAN IS.),1973,2020
IDM00096935,96935,-7.3772,112.7939,JUANDA SURABAYA,1957,2020
IDM00096973,96973,-7.05,113.9667,KALIANGET (MADURA IS),1983,2020
IDM00096987,96987,-8.2167,114.3833,BANYUWANGI,1986,2020
IDM00097008,97008,3.5833,125.4667,NAHA/TAHUNA,1990,2020
IDM00097014,97014,1.5333,124.9167,MENADO/ SAM RATULANGI,1973,2020
IDM00097028,97028,1.0167,120.8,TOLI-TOLI/LALOS,1985,2020
IDM00097048,97048,0.5167,123.0667,GORONTALO/JALALUDDIN,1976,2020
IDM00097072,97072,-0.6833,119.7333,PALU/MUTIARA,1975,2020
IDM00097086,97086,-1.0405,122.7709,LUWUK/BUBUNG,1991,2020
IDM00097096,97096,-1.3833,120.7333,POSO/KASIGUNCU,1984,2020
IDM00097120,97120,-3.5,119,MAJENE,1996,2020
IDM00097180,97180,-5.0667,119.55,UJUNG PANDANG/HASANUDDIN,1973,2020
IDM00097192,97192,-5.4667,122.6167,BAU-BAU/BETO AMBARI,1992,2020
